time,z_tof,vz_cmd,x_tag,y_tag,tag_visible
9.5367431640625e-07,0.82,0.357,,,False
0.10563492774963379,0.82,0.357,,,False
0.2083587646484375,0.82,0.357,,,False
0.3140218257904053,0.8,0.343,,,False
0.41504693031311035,0.78,0.329,,,False
0.5202291011810303,0.78,0.329,,,False
0.6219770908355713,0.71,0.27999999999999997,,,False
0.7272839546203613,0.66,0.245,,,False
0.828300952911377,0.66,0.245,,,False
0.9335300922393799,0.58,0.18899999999999997,,,False
1.035005807876587,0.53,0.154,,,False
1.137941837310791,0.49,0.126,,,False
1.2427079677581787,0.46,0.10500000000000001,,,False
1.3472187519073486,0.41,0.06999999999999998,,,False
1.4523587226867676,0.37,0.041999999999999996,,,False
1.5575709342956543,0.37,0.041999999999999996,,,False
1.662938117980957,0.3,-0.007000000000000005,,,False
